# Voodoo Trace - Frame 49
# Format: <CMD> <timestamp> <addr> [register_name] <data> [(float_value)] [xN]
# Fixed-point formats: S12.4 (vertices), S18.14 (RGBA), S20.12 (Z), S14.18 (S/T), S2.30 (W)
#
RREG_L               54 0x000000 status           0x1f89b3bf
WREG_L            10568 0x2000a8 fdRdY            0x3c328045 (0.010895)
WREG_L            10593 0x2000ac fstartG          0x434950a9 (201.315079)
WREG_L            10615 0x2000b0 fdGdX            0xbc10712d (-0.008816)
WREG_L            10615 0x2000b4 fdGdY            0x3c328045 (0.010895)
WREG_L            10640 0x2000b8 fstartB          0x434950a9 (201.315079)
WREG_L            10662 0x2000bc fdBdX            0xbc10712d (-0.008816)
WREG_L            10662 0x2000c0 fdBdY            0x3c328045 (0.010895)
WREG_L            10687 0x2000d0 fstartA          0x437f0000 (255.000000)
WREG_L            10730 0x2000d4 fdAdX            0x00000000 (0.000000)
WREG_L            10730 0x2000d8 fdAdY            0x80000000 (-0.000000)
WREG_L            10755 0x2000f4 fstartW          0x3a4726af (0.000760)
WREG_L            10798 0x2000f8 fdWdX            0x00000000 (0.000000)
WREG_L            10798 0x2000fc fdWdY            0x80000000 (-0.000000)
WTEX_L            10826 0xe20000 0x00000000
WREG_L            10864 0x200100 ftriangleCMD     0xc5093410
WREG_L            10911-       10953 0x000110 fbzMode          0x000b4379 x2
WREG_L            11310 0x00010c alphaMode        0x00045110
WREG_L            11432 0x200088 fvertexAx        0x494011f1 (786719.062500)
WREG_L            11507 0x20008c fvertexAy        0x49401303 (786736.187500)
WREG_L            11507 0x200090 fvertexBx        0x49400e9c (786665.750000)
WREG_L            11507 0x200094 fvertexBy        0x49401375 (786743.312500)
WREG_L            11507 0x200098 fvertexCx        0x49400fef (786686.937500)
WREG_L            11507 0x20009c fvertexCy        0x49401605 (786784.312500)
WREG_L            11564 0x2000a0 fstartR          0x43484983 (200.287155)
WREG_L            11586 0x2000a4 fdRdX            0x3b8bda5f (0.004268)
WREG_L            11586 0x2000a8 fdRdY            0x3c31bf93 (0.010849)
